part_number,amat_offer_price,vq_count_90d,vq_min,vq_avg,vq_max,vq_latest_date,other_offer_count_90d,other_offer_min,other_offer_avg,other_offer_latest_date,market_assessment
CA91C142D-33IEV,515.60,0,,,,,1,480,480.00,2025-12-02,AT MKT
WDS200T2B0A,70.00,0,,,,,0,,,,No Data
MG721-1.00M-1%,18.00,0,,,,,0,,,,No Data
10M50SCE144C8G,16.90,0,,,,,0,,,,No Data
EN5364QI,15.00,8,22.5,45.43,67.5,2025-12-01,0,,,,BELOW MKT
10M04SCU169A7G,12.92,0,,,,,0,,,,No Data
PI7C9X7958BNBE,12.00,0,,,,,0,,,,No Data
10M08SAU169C8G,10.56,0,,,,,4,,,2026-02-04,No Data
EPM7128SQC100-15,8.98,0,,,,,0,,,,No Data
LCMXO3LF-9400C-6BG256C,8.90,0,,,,,1,,,2026-02-10,No Data
ADS1212U,8.50,0,,,,,1,,,2026-01-04,No Data
EN5336QI,7.39,1,12.980,12.98,12.980,2026-02-09,3,,,2026-02-03,BELOW MKT
EPM570GT144C5,6.98,0,,,,,0,,,,No Data
QU80386EXTC33,6.84,0,,,,,0,,,,No Data
"""108457096002025""",5.98,0,,,,,0,,,,No Data
5M1270ZT144C5N,5.70,0,,,,,0,,,,No Data
MPC508AU/1K,5.59,0,,,,,0,,,,No Data
INA114AP,5.16,0,,,,,0,,,,No Data
AM29F010B-45JI,4.98,0,,,,,0,,,,No Data
AM27S13PC,4.39,0,,,,,0,,,,No Data
AD5542ABRUZ,3.73,0,,,,,0,,,,No Data
5M240ZT144C5N ,3.26,0,,,,,3,,,2026-02-03,No Data
5M240ZT144C5N,2.86,0,,,,,3,,,2026-02-03,No Data
EN5337QI,2.37,0,,,,,4,4.39,4.39,2026-02-03,BELOW MKT
10M04SCU169C8G,2.00,0,,,,,5,,,2026-02-04,No Data
EN5322QI,1.89,7,3.09,7.65,22.2,2025-12-01,7,4.23,4.23,2026-02-03,BELOW MKT
TPS54318RTET,0.90,1,0.82,0.82,0.82,2026-02-05,0,,,,AT MKT
TPS2062DGNG4,0.78,0,,,,,0,,,,No Data
ADV7611BSWZ-P-RL,0.67,0,,,,,4,,,2026-01-21,No Data
LMR36520ADDAR,0.40,0,,,,,3,,,2026-02-03,No Data
74VHC245M,0.36,0,,,,,0,,,,No Data
74VHC273M,0.35,0,,,,,0,,,,No Data
ST3232CDR���,0.29,0,,,,,4,,,2025-12-07,No Data
OPA2277UA,0.13,0,,,,,0,,,,No Data
74VHC08M,0.07,0,,,,,0,,,,No Data
74VHCT14AM,0.06,0,,,,,0,,,,No Data
S4132B ,0,0,,,,,0,,,,No Data
