offer_mpn,offer_qty,rfq_count_deduped,total_rfq_qty,avg_customer_target,min_customer_target,max_customer_target,vq_count,avg_vq_cost,min_vq_cost,max_vq_cost,other_mo_count,avg_mo_price,min_mo_price,max_mo_price
16TQC100MYF,15911,10,1522750,0.1562,0.1142,0.1807,10,0.6563,0.2080,1.2679,9,0.3000,0.3000,0.3000
BCM5241A1IMLG,10466,5,22996,0.8608,0.4760,1.4360,24,0.8699,0.7000,2.2000,18,0.9211,0.7000,2.0075
LT3070EUFD#PBF,5322,5,10695,3.5736,3.3571,3.8400,3,4.4823,4.3500,4.6470,,,,
BCM54220SB0IFBG,1518,3,14560,4.3825,4.0752,4.5362,4,9.3750,6.9300,12.5000,4,,,
TPS63060DSCR,4175,2,1965,0.3478,0.3300,0.3656,,,,,4,0.3501,0.3501,0.3501
1210YD226MAT2A,35670,2,598798,0.0170,0.0161,0.0188,,,,,1,,,
HX1188NLT,4316,2,16285,0.5018,0.3906,1.2800,1,0.1400,0.1400,0.1400,8,3.1786,3.1786,3.1786
J1011F21PNL,1640,2,4099,,,,,,,,,,,
PCA9517ADP,12465,2,22500,0.2050,0.2050,0.2050,16,0.5447,0.2203,0.7077,1,0.1950,0.1950,0.1950
PCA9517DP,12465,2,22500,0.1280,0.1280,0.1280,2,0.3055,0.3000,0.3110,1,,,
12106D476KAT2A,72542,2,165686,0.0443,0.0383,0.0473,,,,,,,,
TPS63060DSC,4175,1,2000,0.8120,0.8120,0.8120,,,,,,,,
AQY210SX,13528,1,6857,0.4950,0.4950,0.4950,,,,,7,1.2480,1.2480,1.2480
LTC2977IUP#PBF,1100,1,2200,,,,2,17.1000,17.1000,17.1000,,,,
LTC2977IUP#PBF,5368,1,2200,,,,2,17.1000,17.1000,17.1000,,,,
LTC2977IUP#TRPBF,1100,1,2200,,,,2,13.5000,13.5000,13.5000,,,,
LTC2977IUP#TRPBF,5368,1,2200,,,,2,13.5000,13.5000,13.5000,,,,
CY8C3866AXI-040,1588,1,0,,,,,,,,,,,
DS3231SN#,1153,1,4519,4.4530,4.4530,4.4530,,,,,,,,
EN5319QI,46270,1,50,,,,3,3.7600,3.5100,4.2100,1,3.5940,3.5940,3.5940
HX1188FNL,4316,1,2833,1.9200,1.9200,1.9200,,,,,3,,,
NFM18PC225B1A3D,97631,1,30,,,,,,,,1,,,
