Category,MPN,RFQ_Count_30d,RFQ_Count_60d,RFQ_Count_90d,MO_Avg_Price_30d,MO_Quotes_30d,MO_Avg_Price_60d,MO_Quotes_60d,MO_Avg_Price_90d,MO_Quotes_90d,VQ_Avg_Price_30d,VQ_Quotes_30d,VQ_Avg_Price_60d,VQ_Quotes_60d,VQ_Avg_Price_90d,VQ_Quotes_90d
DRAM,H5AN4G6NAFR-UHC,0,0,0,,0,,0,,0,,0,,0,,0
DRAM,H5AN4G6NBJR-UHC,0,0,0,7.5000,2,6.9400,4,6.9400,4,,0,,0,,0
DRAM,H5AN8G6NCJR-VKC,6,7,8,30.8000,1,30.8000,1,30.8000,1,17.2069,33,17.2069,33,17.2069,33
DRAM,H5AN8G8NCJR-VKC,0,0,0,,0,,0,,0,,0,,0,,0
DRAM,H5CG46AEBTX017N,0,0,0,,0,,0,,0,,0,,0,,0
DRAM,MT40A1G8SA-075:E,1,2,3,31.0625,8,25.3738,13,24.4757,14,,0,,0,7.5170,1
DRAM,MT40A256M16GE-083E:B,0,0,0,5.6000,2,4.7375,4,4.1625,8,,0,,0,,0
DRAM,MT40A256M16TB-062E:G,0,0,0,,0,,0,,0,,0,,0,,0
DRAM,MT40A2G8JC-062EIT:E,3,4,5,42.6667,3,40.0000,4,47.0000,5,41.4691,24,41.4691,24,41.4691,24
DRAM,MT40A512M16TB-062E:J,2,3,4,,0,9.2300,2,9.2300,2,15.1808,11,15.1808,11,15.1808,11
DRAM,MT60B1G16HC-48BIT:A,0,0,0,,0,,0,,0,,0,,0,,0
DRAM,MT60B1G16HC-48BITA,0,0,0,,0,,0,,0,,0,,0,,0
DIMM/SODIMM,9995417-180.A00G,0,0,0,,0,,0,,0,,0,,0,,0
DIMM/SODIMM,MT8KTF51264HZ-1G9P1,1,2,2,,0,,0,,0,,0,,0,,0
DIMM/SODIMM,MTA18ASF1G72PZ-2G1A1__,0,0,0,,0,,0,,0,,0,,0,,0
DIMM/SODIMM,MTA18ASF1G72PZ-2G1A2__,0,0,0,,0,,0,,0,,0,,0,,0
DIMM/SODIMM,MTA18ASF1G72PZ-2G6F1_,0,0,0,,0,,0,,0,,0,,0,,0
SPI NOR Flash,IS25WP128-RHLE-TR,0,0,0,,0,,0,,0,,0,,0,,0
SPI NOR Flash,MT25QU128ABA1EW7-0SIT,2,5,5,3.1740,5,3.0283,6,2.7829,7,,0,,0,0.9868,13
SPI NOR Flash,MT29F512G08EBHAFJ4-3ITF:A,0,0,0,,0,,0,,0,,0,,0,,0
SPI NOR Flash,MT29F512G08EBHAFJ4-3T:A,0,0,0,,0,,0,,0,,0,,0,,0
SPI NOR Flash,MX25L12833FZNI-10G,0,0,0,,0,,0,,0,,0,,0,,0
SPI NOR Flash,MX25L12872FM2I-10G,0,0,0,,0,,0,,0,,0,,0,,0
SPI NOR Flash,MX25L12873FM2I-10G,0,0,0,,0,,0,,0,,0,,0,,0
SPI NOR Flash,MX25L25673GMI-08G,0,0,0,,0,,0,,0,,0,,0,,0
SPI NOR Flash,MX25L25673GMI-10G,0,0,0,,0,,0,,0,,0,,0,,0
SPI NOR Flash,MX25L3233FM2I-08G,1,2,2,0.3950,2,0.3950,2,0.3400,3,0.5796,2,0.5796,2,0.5796,2
SPI NOR Flash,MX25U25673GMI40,0,0,0,,0,,0,,0,,0,,0,,0
SPI NOR Flash,TH58TFG9W23BAMC,0,0,0,,0,,0,,0,,0,,0,,0
SPI NOR Flash,W25Q128FVSIQ,0,0,0,,0,,0,,0,,0,,0,,0
SPI NOR Flash,W25Q128JVPIM,0,0,0,,0,,0,,0,,0,,0,,0
SPI NOR Flash,W25Q128JVSIQ,3,5,7,1.2258,6,1.1635,7,1.0772,9,1.3621,3,1.3621,3,1.0831,5
SPI NOR Flash,W25Q128JWBIQ,0,0,0,,0,,0,,0,,0,,0,,0
SPI NOR Flash,W25Q16JLSNIG,0,0,0,,0,,0,,0,,0,,0,,0
SPI NOR Flash,W25Q256FVFIQ,0,0,0,,0,,0,,0,,0,,0,,0
SPI NOR Flash,W25Q256JVFIQ,1,2,3,2.4250,2,2.4250,2,2.0300,3,2.5504,3,2.5504,3,1.9495,14
SPI NOR Flash,W25Q256JWFIQ,1,1,1,,0,,0,,0,3.2341,3,3.2341,3,3.2341,3
SPI NOR Flash,W25Q32JVSSIM,0,0,0,,0,,0,,0,,0,,0,,0
NAND Flash / eMMC,EMMC08G-M325-E51U,0,0,0,,0,,0,,0,,0,,0,,0
NAND Flash / eMMC,EMMC16G-TB29-90F02,0,0,0,,0,,0,,0,,0,,0,,0
NAND Flash / eMMC,H26M41204HPR,0,0,0,,0,,0,,0,,0,,0,,0
NAND Flash / eMMC,H26M41208HPR,0,1,1,,0,,0,,0,,0,,0,,0
NAND Flash / eMMC,H26M41208HPRN,0,0,0,,0,,0,,0,,0,,0,,0
NAND Flash / eMMC,MTFC32GAZAQHD-IT,1,2,3,,0,,0,,0,42.6333,6,42.6333,6,42.6333,6
NAND Flash / eMMC,MTFC8GAKAJCN-1MWT,2,2,3,,0,11.0000,1,11.0000,1,65.3333,3,65.3333,3,26.1910,10
NAND Flash / eMMC,SDINBDG4-8G-859XA,0,0,0,20.5275,4,19.6670,5,16.6193,7,,0,,0,,0
EEPROM,24AA512T-I/ST,0,0,0,,0,,0,,0,,0,,0,,0
EEPROM,AT24C04C-SSHM-T,0,0,0,,0,,0,0.0700,1,,0,,0,,0
EEPROM,AT24C512B-TH-T,0,0,0,,0,,0,,0,,0,,0,,0
EEPROM,AT24C512C-XHM-T,0,0,0,,0,,0,,0,,0,,0,,0
EEPROM,AT24CM01-SSHM-T,0,2,2,,0,,0,,0,,0,,0,,0
EEPROM,BR24G02NUX-3TTR,0,0,0,,0,,0,,0,,0,,0,,0
EEPROM,CAT24C04WI-GT3,1,1,1,,0,,0,,0,0.1155,2,0.1155,2,0.1155,2
EEPROM,CAT24C512YI-GT3,0,1,1,,0,,0,,0,,0,,0,,0
EEPROM,CAT24M01WI-GT3,0,0,0,,0,,0,,0,,0,,0,,0
EEPROM,M24C02-FMC6TG,0,0,0,,0,,0,,0,,0,,0,,0
EEPROM,M24C02-FMC6TGTGA,0,0,0,,0,,0,,0,,0,,0,,0
EEPROM,M24C02-RMN6TP,0,0,0,,0,,0,,0,,0,,0,,0
EEPROM,M24C04-RMN6TP,0,0,0,,0,,0,,0,,0,,0,,0
EEPROM,M24C04-WMN6TP,0,1,1,,0,,0,,0,,0,,0,,0
EEPROM,M34E02-FMC6TG,0,0,0,,0,,0,,0,,0,,0,,0
Other Memory,M24512-RDW6TP,0,0,0,,0,,0,,0,,0,,0,,0
Other Memory,M24M01-DFMN6TP,0,0,0,,0,,0,,0,,0,,0,,0
Other Memory,M24M01-RMN6TP,0,1,1,,0,,0,0.3600,1,,0,,0,,0
Other Memory,THGBMJG8C4LBAU8,0,0,0,,0,,0,,0,,0,,0,,0
