rfq_search_key,rfq_date,rfq_type,customer_name,rfq_mpn,rfq_qty,rfq_target_price,excess_offer_key,excess_date,excess_partner,excess_mpn,excess_qty,excess_price,date_code,lead_time,qty_coverage_pct,vq_count,avg_vq_cost,min_vq_cost,max_vq_cost,latest_vq_date,rfq_count_90d,total_rfq_qty_90d,est_opportunity_value
1129832,2026-02-11,Shortage,CEI,88E1510-A0-NNB2C000,120,,1025531,2026-02-10,Celestica,88E1510-A0-NNB2C000,597,0,,,497.5,8,8.2339,5.7230,10.4358,2025-08-22,1,120,4915.64
1129833,2026-02-11,Shortage,East West Manufacturing,T405-600H,12000,0.125,1025531,2026-02-10,Celestica,T405-600H,12215,0,,,101.8,,,,,,1,12000,1526.88
1129837,2026-02-11,Shortage,Kaynes Technology India Pvt. Ltd.,524MILFT,342,,1025531,2026-02-10,Celestica,524MILFT,710,0,,,207.6,,,,,,1,684,
1129840,2026-02-11,Stock,General Dynamics,1210YD226MAT2A,,,1024979,2025-11-26,SFO Technologies,1210YD226MAT2A,7158,0,,,,,,,,,,,
1129840,2026-02-11,Stock,General Dynamics,16TQC100MYF,,,1025531,2026-02-10,Celestica,16TQC100MYF,36215,0,,,,10,0.6563,0.2080,1.2679,2025-11-05,,,23767.90
1129840,2026-02-11,Stock,General Dynamics,AQY210SX,,,1025295,2026-01-11,Celestica,AQY210SX,740,0,,,,,,,,,,,
1129840,2026-02-11,Stock,General Dynamics,BCM5221A4KPTG,,,1025531,2026-02-10,Celestica,BCM5221A4KPTG,811,0,,,,,,,,,,,
1129840,2026-02-11,Stock,General Dynamics,BCM5241A1IMLG,,,1025531,2026-02-10,Celestica,BCM5241A1IMLG,2971,0,,,,26,0.8647,0.7000,2.2000,2026-02-11,,,2569.02
1129840,2026-02-11,Stock,General Dynamics,BCM5241A1IMLG,,,1025345,2026-01-20,BENCHMARK ELECTRONICS,BCM5241A1-IMLG,2583,0,,,,26,0.8647,0.7000,2.2000,2026-02-11,,,2233.52
1129840,2026-02-11,Stock,General Dynamics,BCM54220SB0IFBG,,,1025332,2026-01-20,Sanmina Corporation,BCM54220SB0IFBG,5727,0,,,,4,9.3750,6.9300,12.5000,2025-10-13,,,53690.63
1129840,2026-02-11,Stock,General Dynamics,C1005X5R1C104K,,,1025528,2026-02-10,Dell,C1005X5R1C104K,583226,0,,,,,,,,,,,
1129840,2026-02-11,Stock,General Dynamics,FTSH-108-01-L-DV-P-TR,,,1025531,2026-02-10,Celestica,FTSH-108-01-L-DV-P-TR,124051,0,,,,,,,,,,,
1129840,2026-02-11,Stock,General Dynamics,HX1188NLT,,,1025531,2026-02-10,Celestica,HX1188NLT,2559,0,,,,1,0.1400,0.1400,0.1400,2025-09-29,,,358.26
1129840,2026-02-11,Stock,General Dynamics,LT3070EUFD#TRPBF,,,1025531,2026-02-10,Celestica,LT3070EUFD#TRPBF,1500,0,,,,6,4.3462,4.2000,4.4800,2025-09-29,1,4405,6519.30
1129840,2026-02-11,Stock,General Dynamics,LTC2977CUP#PBF,,,1025531,2026-02-10,Celestica,LTC2977CUP#PBF,200,0,,,,,,,,,,,
1129840,2026-02-11,Stock,General Dynamics,LTC2977IUP#TRPBF,,,1025531,2026-02-10,Celestica,LTC2977IUP#TRPBF,1305,0,,,,1,13.5000,13.5000,13.5000,2025-11-24,1,2200,17617.50
1129840,2026-02-11,Stock,General Dynamics,NFM18PC225B1A3D,,,1025332,2026-01-20,Sanmina Corporation,NFM18PC225B1A3D,220488,0,,,,,,,,,,,
1129840,2026-02-11,Stock,General Dynamics,PB223-156.25M,,,1025531,2026-02-10,Celestica,PB223-156.25M,37913,0,,,,,,,,,,,
1129840,2026-02-11,Stock,General Dynamics,PCA9517ADP,,,1025528,2026-02-10,Dell,PCA9517ADP,3115,0,,,,,,,,,,,
1129840,2026-02-11,Stock,General Dynamics,TPS63060DSCR,,,1024979,2025-11-26,SFO Technologies,TPS63060DSCR,428,0,,,,,,,,,,,
1129850,2026-02-11,Shortage,"EMLinQ, LLC",1N4007-T,5670,,1024979,2025-11-26,SFO Technologies,1N4007-T,1831,0,,,32.3,,,,,,2,105670,
